Date_Time,Author,Title,Image,Detail
"Jun 06, 2025 12:02 pm IST",N/A,Gautam Gambhir Stresses 2 Factors To Decide Jasprit Bumrah's Availability In England Tests,"https://c.ndtvimg.com/2024-12/06f1rrc8_jasprit-bumrah-afp_625x300_14_December_24.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188",India has not yet confirmed how many matches Jasprit Bumrah will feature in during the upcoming five-Test series in England.
"Jun 06, 2025 12:00 pm IST",Akash Dutta,Google Upgrades Gemini 2.5 Pro AI Model With Improved Coding Capabilities,https://i.gadgets360cdn.com/large/gemini_deep_think_1749187794720.jpg?downsize=250:188,"Google introduced an upgraded version of the Gemini 2.5 Pro artificial intelligence (AI) model on Thursday. Available in preview, the new model’s technical name is “Gemini 2.5 Pro preview 06-05 Thinking” and it offers improved coding capabilities compared to the previous version which was released ahead of the Google I/O 2025."
"Jun 06, 2025 11:57 am IST",Ashish Bhargava,"NEET-PG Exam On August 3, Supreme Court Agrees With Date Extension Request",https://c.ndtvimg.com/2024-04/24l3vlag_exam-representative-image_625x300_21_April_24.jpg?downsize=250:188,"A bench led by Justice PK Mishra questioned the exam body and the Centre over the delay, asking why the test could not be conducted in the second or third week of July."
"Jun 06, 2025 11:57 am IST",N/A,"D Gukesh Presses Magnus Carlsen For USD 69,000-Worth Norway Chess Title: All You Need To Know",https://c.ndtvimg.com/2025-06/j4a6qcc8_gukesh-and-carlsen-x_625x300_06_June_25.jpeg?downsize=250:188,"If defending champion Carlsen wins, it will be his seventh Norway Chess title dating back to 2016, while Gukesh would be hoping for his maiden triumph in two outings."
"Jun 06, 2025 11:51 am IST",N/A,Blog | 'Future At Stake': Why Indian Students In US Aren't Going Home This Summer,"https://c.ndtvimg.com/2019-01/ja0qh5ng_us-college-us-university-generic-pixabay_625x300_05_January_19.jpg?im=FitAndFill,algorithm=dnn,width=250,height=188","""The current visa situation is unpredictable. I can't risk it after putting in three years here,"" says an undergraduate, referring to the heightened scrutiny at American airports and reports of foreign nationals being barred."
"Jun 06, 2025 11:40 am IST",Deepak Bopanna,"'Police Made Scapegoat By Siddaramaiah, His Deputy': Leader Of Opposition","https://c.ndtvimg.com/2025-06/noivns8o_r-ashoka_625x300_06_June_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188",Leader of Opposition in the Karnataka assembly R Ashoka has alleged Chief Minister Siddaramaiah and his deputy DK Shivakumar were directly responsible for the stampede outside a Bengaluru stadium that killed 11 people.
"Jun 06, 2025 11:36 am IST",N/A,Fire Breaks Out At Revenue Building In Delhi's ITO,"https://c.ndtvimg.com/2022-10/tpnd3toc_delhi-fire-engine-650_625x300_01_October_22.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","A fire broke out in one of the rooms of the Revenue Building in ITO here on Friday, an official said."
"Jun 06, 2025 11:28 am IST",Paras Harendra Dama,"How Thane Techie Spied For Pakistan's ISI, Shared Info On Indian Warships",https://c.ndtvimg.com/2025-05/3ntuff8g_thane-spy-_625x300_31_May_25.jpg?downsize=250:188,"A week after a 27-year-old man from Maharashtra was arrested in an alleged espionage case, it has now emerged how he spied for his Pakistani agents and the information that he shared with them."
"Jun 06, 2025 11:25 am IST",Abhinav Singh,US Researcher Proposes Detonating Massive Nuclear Bomb Under Ocean To Save Earth,"https://i.ndtvimg.com/i/2016-05/nuclear-explosion-atom-bomb-generic_650x400_71462870420.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","Using a nuclear explosion yield of 81 gigatons, scientists can sequester 30 years' worth of carbon dioxide emissions, the study claimed."
"Jun 06, 2025 11:22 am IST",N/A,"""Siddaramaiah Responsible For Crowd Surge"": HD Kumaraswamy On Stampede Deaths",https://c.ndtvimg.com/2024-10/5jdl5428_siddaramaiah-hd-kumaraswamy-split_625x300_06_October_24.jpg?downsize=250:188,"Karnataka minister HD Kumaraswamy has squarely blamed Chief Minister Siddaramaiah for the stampede in Bengaluru that claimed 11 lives.""Chief Minister responsible for crowd surge, cops did everything they could,"" Mr Kumaraswamy told NDTV."
"Jun 06, 2025 11:21 am IST",Amulya Raj Srinet,Honda Civic Type R To Be Phased Out In Europe- Still Think It's Coming To India?,"https://c.ndtvimg.com/2025-06/s5khq2jo_honda-civic-type-r-ultimate-edition_625x300_06_June_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","The Honda Civic Type R will be phased out of Europe and the UK, bringing an end to a 28-year production run."
"Jun 06, 2025 11:19 am IST",N/A,"Video: Virat Kohli Mobbed By Fans During RCB Celebrations, Police Struggle To Control Crowd","https://c.ndtvimg.com/2025-06/heub2brc_virat-kohli_625x300_06_June_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","RCB players, including Virat Kohli, did not have an easy exit from Vidhana Soudha amidst an overflow of people."
"Jun 06, 2025 11:17 am IST",NDTV Movies News Desk,"After <i>Spirit</i>, Deepika Padukone Dropped From Prabhas's <i>Kalki 2</i> Over ""Friction On Sets"": Report","https://c.ndtvimg.com/2025-06/pfhfg70k_deepika_625x300_06_June_25.jpg?im=FaceCrop,algorithm=dnn,width=250,height=188","Earlier, Deepika Padukone was allegedly dropped from Sandeep Reddy Vanga's Spirit due to disagreements over remuneration and reported ""unprofessional"" behaviour"
"Jun 06, 2025 11:12 am IST",Vaishali Kapila,Looking For A Fun Twist On Your Usual Toast? Say Hello To Samosa Cheese Toast,"https://c.ndtvimg.com/2025-06/s22budtg_dc_625x300_06_June_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188",Samosa cheese toast is a delicious fusion snack that combines the crispiness of samosa with gooey cheese and toasted bread.
"Jun 06, 2025 11:09 am IST",NDTV News Desk,PM Modi To Flag Off Kashmir Vande Bharat Express: What Makes It Unique,https://c.ndtvimg.com/2025-06/ap633rkk_kashmir-vande-bharat-express-_625x300_06_June_25.jpeg?downsize=250:188,"The Vande Bharat Express in Kashmir is specially designed to operate in extreme cold conditions, including temperatures as low as -20 degrees Celsius. The train is equipped with heated windscreens so it automatically removes frost."
"Jun 06, 2025 11:04 am IST",N/A,Sensex Up By 700 Points After RBI Cuts Repo Rate By 50 Basis Points,"https://c.ndtvimg.com/2025-04/0il6ifnc_sensex_625x300_28_April_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","The Indian benchmark indices surged on Friday after the RBI Governor Sanjay Malhotra announced a jumbo 50 bps rate cut  from 6 per cent to 5.5 per cent  and a 100 basis point cut in the Cash Reserve Ratio (CRR), from 4 per cent to 3 per cent."
"Jun 06, 2025 11:01 am IST",J Sam Daniel Stalin,"Rajya Sabha Race: Kamal Haasan, P Wilson Among Candidates Filing Nominations Today","https://c.ndtvimg.com/2025-05/vvq1au2o_kamal-haasan_625x300_30_May_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","Actor-politician Kamal Haasan, along with key nominees from both the DMK and AIADMK, will file nominations today for the upcoming Rajya Sabha elections."
"Jun 06, 2025 11:00 am IST",N/A,Case Against Thane Woman For Throwing Hot Oil On Husband During Argument,"https://c.ndtvimg.com/2025-05/c9nkg2lo_police-generic_625x300_06_May_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","A 48-year-old autorickshaw driver from Maharashtra's Thane district suffered burns after his wife threw hot oil on him during a fight, an official said on Friday."
"Jun 06, 2025 10:59 am IST",Srishti Singh Sisodia,End Of Trump-Musk Bromance Triggers Hilarious Social Media Memes,https://c.ndtvimg.com/2025-06/vopt78mk_donald-trump-and-elon-musk_625x300_06_June_25.jpeg?downsize=250:188,"As the drama unfolds after Musk's departure from the administration last week, it shows a tectonic shift in the relationship between Trump and Musk."
"Jun 06, 2025 10:56 am IST",NDTV Movies News Desk With Inputs From Prashant Shishodia,<i>Housefull 5</i> Box Office Prediction Day 1: Fourth Biggest Opener Of Akshay Kumar's Career At Rs 20 Crore,"https://c.ndtvimg.com/2025-06/6rlj5bk4_housefull-5_625x300_06_June_25.jpg?im=FeatureCrop,algorithm=dnn,width=250,height=188","Housefull 5, directed by Tarun Mansukhani and produced by Sajid Nadiadwala, marks Akshay's return to the comedy genre."
